Product,Category,Unit_Price,,Product,Category,Price,Notes,Product,Category,Price,,,Container
"0.5M EDTA, pH 8.0, 100ml",Mediatech,6.95,,"1 Fly food, vials","Fly Food, vials",24,,"4% agar, 100 mm (sleeve)",Agar,13.85,,,100mm clear petri dish
"1 Fly food, vials","Fly Food, vials",24,,1X PBS - 10L Sterile,Custom,52.25,,"4% agar, 150 mm (sleeve)",Agar,32,,,150mm clear petri dish
"10% SDS, 100ml",Mediatech,12,,"2 Fly food, bottles","Fly Food, bottles",14,size,"4% agar, reused tray (plate)",Agar,3.3,,,
"10X PBS, 1L",Mediatech,13.75,,"2-YT, 1L",Custom,5.75,,"Charcoal, 60mm (sleeve)",Agar,14.5,,,60mm clear petri dish
"10X TAE, 1L",Mediatech,11,,"2-YT, 500ml",Custom,2.875,size,"Charcoal, reused tray (plate)",Agar,3.3,,,
"10X TBE, 1L",Mediatech,11.5,,"2X HBS, 1L",Custom,44.75,,"Grape juice plates, 100mm (sleeve)",Agar,27,,,100mm clear petri dish
"10X TBS, 1L",Mediatech,18,,"2xYT, 1L",Custom,11.5,,"Grape Juice plates, 35mm (sleeve)",Agar,14,,,35mm clear petri dish 
"1M Tris HCl (pH 7.5), 1L",Mediatech,15,,4% agar  100 mm plate per sleeve,"Larval, special",13.85,,"Grape juice plates, 60mm (sleeve)",Agar,11,,,60mm clear petri dish
"1M Tris HCl (pH 8.0), 1L",Mediatech,15,,4% agar  150 mm plate per sleeve,4% agar - 150mm,32,,"Starvation, vials (tray)",Agar,25.61,,,
1X PBS - 10L Sterile,Custom,52.25,,4% agar Reused BioAssay tray (plate),Bio-assay tray - 4%,3.3,size,Antibiotic bioassay tray (plate),Antibiotics,11,,,
"1X TE, 1L",Mediatech,15,,50X5052,Custom,36.5,,"Antibiotic plates w. x-gal & IPTG, 100mm (sleeve)",Antibiotics,85.04,,,
"2 Fly food, bottles","Fly Food, bottles",14,,50XM,Custom,22.9,,"Antibiotic plates, 100mm (sleeve)",Antibiotics,24,,,
"2-YT, 1L",Custom,5.75,,Bio-assay tray - Amp - plate,Bio-assay tray - Amp - plate,11,,"Antibiotic plates, 150mm (sleeve)",Antibiotics,31,,,
"2-YT, 500ml",Custom,2.875,,Charcoal plate - sleeve,Charcoal plate,14.5,,"Culture tubes, 1 rack",Antibiotics,25,,,
2.5% agar-60 mm plates (sleeve),2.5% agar - 60mm,14.5,,Cortex Buffer-1L aliquoted,Custom,100,change,"Deep well blocks, 2L aliquoted  ",Antibiotics,38.5,19.25,price for 1L,
"20X SSC, 1L",Mediatech,18,,"CRAP Media, 1L",Custom,10,,Q-trays (plate),Antibiotics,11,,,
"2X HBS, 1L",Custom,44.75,,"Culture tubes, 1 rack",Custom,25,,Stab tubes (100),Antibiotics,50,,,
"2xYT, 1L",Custom,11.5,,"Deep well blocks, 2L aliquoted  ",Custom,38.5,,"Dextrose, vials (tray)",Dextrose Food,24,,,
"3M Sodium Acetate, 100ml",Mediatech,6.95,,Dextrose vials (tray),"Fly Food, Dextrose vials",24,,Trikinetic tubes (100),Dextrose Food,47.5,,,
4% agar  100 mm plate per sleeve,"Larval, special",13.85,,"Eppendorf tubes, 0.5 ml, safety, jar",Eppendorf tubes,17.69,change,"1X PBS, 10L",Liquid Media,52.25,5.225,price for 1L,
4% agar  150 mm plate per sleeve,4% agar - 150mm,32,,"Eppendorf tubes, 1.5 ml, bag",Eppendorf tubes,8.65,,"2xYT, 1L",Liquid Media,11.5,,,
4% agar bottle/ 1 L,4% agar - bottle,11.25,,"Eppendorf tubes, 1.5 ml, flexi, jar",Eppendorf tubes,6.87,,"2-YT, 1L",Liquid Media,5.75,,,
4% agar Reused BioAssay tray (plate),Bio-assay tray - 4%,3.3,,"Eppendorf tubes, 1.5 ml, safety, jar",Eppendorf tubes,8.72,,"2-YT, 500ml",Liquid Media,2.875,,,
50X5052,Custom,36.5,,"Eppendorf tubes, 2.0 ml, bag",Eppendorf tubes,12.22,,"CRAP, 1L",Liquid Media,10,,,
